nombre,precio,categoria,disponible,descripcion,imagen_url
Ternura Kitty,"$520,000",Destacados,Sí,"Espectacular arreglo escultórico en forma de Hello Kitty elaborado con crisantemos blancos, un tierno moño de rosas rosadas y detalle de rosas amarillas. Una obra floral única para sorprender y enamorar.",https://florescucuta.dondeseria.com/assets/flores_cucuta_27.webp
Jardín Encantado,"$545,000",Destacados,Sí,"Lujoso arreglo en caja rosa que reúne orquídeas cymbidium, lirios naranjas, girasoles, gerberas y rosas lavanda entre hortensias y claveles. Una explosión de color y sofisticación.",https://florescucuta.dondeseria.com/assets/flores_cucuta_32.webp
Noche Estrellada,"$160,000",Destacados,Sí,"Ramo artístico inspirado en ""La Noche Estrellada"" de Van Gogh: hortensias y rosas en tonos azules con crisantemos amarillos y una lámina decorativa de la icónica obra. Arte que florece.",https://florescucuta.dondeseria.com/assets/flores_cucuta_35.webp
Amor de 200 Rosas,"$820,000",Rosas,Sí,"Imponente ramo de 200 rosas rojas coronado con iniciales personalizadas hechas en flor nube (gypsophila), envuelto en elegante papel negro. Un gesto monumental de amor. Letras a elección del cliente.",https://florescucuta.dondeseria.com/assets/flores_cucuta_28.webp
Fuego Silvestre,"$360,000",Gerberas,Sí,"Vibrante ramo en tonos rojos que combina rosas, gerberas, claveles y astromelias, envuelto en papel blanco. Intensidad y elegancia para una ocasión inolvidable.",https://florescucuta.dondeseria.com/assets/flores_cucuta_29.webp
Corazón Ferrero,"$650,000",Especiales,Sí,"Arreglo en forma de corazón con 33 Ferrero Rocher en el centro, rodeado de 52 rosas rojas y billetes decorativos a elección del cliente. Precio base del ramo; el dinero alrededor se ajusta a tu gusto.",https://florescucuta.dondeseria.com/assets/flores_cucuta_30.webp
Ruta de Campeón,"$167,000",Especiales,Sí,"Original ramo con 12 rosas rojas, flor nube y 5 carritos Hot Wheels. El regalo perfecto para los amantes de los autos, grandes y pequeños.",https://florescucuta.dondeseria.com/assets/flores_cucuta_31.webp
Cerezo Rojo,"$265,000",Rosas,Sí,"Romántico ramo de 60 rosas rojas adornado con cerezas y un delicado moño rosado, envuelto en tul beige. Pasión y dulzura en una presentación de ensueño.",https://florescucuta.dondeseria.com/assets/flores_cucuta_33.webp
Nube Pastel,"$232,000",Rosas,Sí,"Encantador ramo de 36 rosas acompañado de mini rosas y claveles en tonos rosa, amarillo y pastel, envuelto en papel lila. Ternura y frescura en cada pétalo.",https://florescucuta.dondeseria.com/assets/flores_cucuta_34.webp
Romance Duquesa,"$165,000",Rosas,No,"Elegante bolsa Duquesa Floral ""Flower World"" disponible en dos versiones: rosas rojas con claveles e hipérico, o rosas rosadas con lisianthus. Detalles en paniculata y eucalipto, una presentación premium ideal para regalar romance y elegancia.",https://florescucuta.dondeseria.com/assets/flores_cucuta_25.webp
Despertar de Alegría,"$95,000",Gerberas,No,Ramo de 10 gerberas con tarjeta o mensaje personalizado con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_18.webp
Fusión Perfecta,"$227,500",Rosas,No,Ramo de 36 rosas y 6 girasoles con tarjeta personalizada con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_2.webp
Garantía de Amor,"$102,500",Rosas,No,Ramo de 12 rosas con tarjeta o mensaje personalizado con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_17.webp
Conquista Definitiva,"$165,000",Rosas,No,Ramo de 24 rosas y claveles con tarjeta o mensaje personalizado con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_21.webp
Obra Maestra,"$265,000",Rosas,No,Ramo de 60 rosas y claveles con tarjeta o mensaje personalizado con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_1.webp
Vitamina Emocional,"$110,000",Girasoles,No,Ramo de 4 girasoles con tarjeta o mensaje personalizado con nombre.,https://florescucuta.dondeseria.com/assets/flores_cucuta_23.webp
Guardián del Corazón,"$275,000",Especiales,No,"Osito de 25 CM elaborado con rosas de foamy, almacenado en una caja de acetato y tarjeta personalizada y tres globos en helio",https://florescucuta.dondeseria.com/assets/flores_cucuta_24.webp
Despertar de Primavera,"Desde $148,000",Tulipanes,Sí,"Bouquet de tulipanes disponible en 4, 6 o 10 tulipanes, en un único color o en combinación de varios. Un detalle elegante y versátil para cualquier ocasión especial.",https://florescucuta.dondeseria.com/ofertas/imagenes/tulipanes/tulipanes_amarillos.webp
Cápsula de Eternidad,"$53,000",Flores Eternas,Sí,Mini ramo de 7 rosas eternas acompañadas con perlas y mariposas decorativas. Disponible en múltiples colores.,https://florescucuta.dondeseria.com/assets/mini_ramo_eternas.webp
Legado Inmortal,"$145,000",Flores Eternas,Sí,"Hermoso bouquet elaborado con 20 rosas eternas, decorado con malla de perlas y mariposas doradas que realzan su elegancia. Incluye listón con mensaje especial y opción de mensaje personalizado.",https://florescucuta.dondeseria.com/assets/bouquet_eternas.webp
Imperio Eterno,"$220,000",Flores Eternas,Sí,"Hermoso bouquet elaborado con 34 rosas eternas, decorado con perlas y mariposas que realzan su elegancia. Incluye moño y mensaje especial.",https://florescucuta.dondeseria.com/assets/bouquet_eternas_grandes.webp
Celebración de Vida,"$140,000",Celebraciones,Sí,"Hermoso bouquet elaborado con 20 rosas frescas acompañadas de eucalipto, dispuesto en una base que mantiene las flores siempre radiantes. Incluye tarjeta personalizada, ideal para cumpleaños y celebraciones.",https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramo_flores_cumpleanos.webp
Juramento Sagrado,"$155,000",Celebraciones,Sí,"Bouquet compuesto por 18 rosas frescas, acompañado de diversos follajes que realzan su belleza y un listón decorativo. Un diseño delicado y personalizado, perfecto para el día más especial.",https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramos_novias_naturales.webp
Coronación de Princesa,"$255,000",Celebraciones,Sí,"Un diseño único compuesto por 48 rosas frescas, rodeadas de delicada flor nube, decorado con una corona dorada y un listón con mensaje especial. Perfecto para los 15 años.",https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramo_flores_quinceaneras.webp
Arsenal Completo,"$177,500",Especiales,Sí,"Rosas frescas, flor nube y 11 bombones Ferrero Rocher en base elegante con lazo dorado. Domina la situación con esta combinación que cubre todas las expectativas. El tipo de detalle que te posiciona como el que siempre sabe qué hacer en momentos importantes.",https://florescucuta.dondeseria.com/assets/amoryamistad/amoryamistad2.webp
Alegría Multicolor,"$60,000",Cumpleaños,Sí,"Bouquet de astromelias frescas con base de oasis y tarjeta personalizada. Explosión de alegría en formato versátil. Las astromelias representan amor duradero y gratitud, perfectos para cumpleaños donde quieres expresar que cada año juntos es un regalo. Frescura garantizada con diseño que mantiene las flores radiantes por días.",https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos5.webp
Monumento de Amor,"$465,000",Cumpleaños,Sí,110 rosas dispuestas en forma de corazón con mensaje personalizado en listón y 2 globos en helio. La declaración máxima que trasciende el tiempo. Diseñado para cumpleaños donde quieres crear una memoria imborrable que será recordada para siempre. Impacto monumental que marca la diferencia entre un cumpleaños común y un evento histórico personal.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos1.webp
Estrella Resplandeciente,"$60,000",Cumpleaños,Sí,"Bouquet de claveles con tarjeta personalizada. Las claveles simbolizan amistad, devoción y prosperidad - el mensaje perfecto para cumpleaños. Flores de larga duración que representan que los deseos de felicidad trascienden el día. Diseño elegante que combina belleza natural con significado profundo. Ideal para celebrar años de amistad y lealtad.",https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos6.webp
Sinfonía Dorada,"$280,000",Cumpleaños,Sí,56 rosas combinadas con 1 girasol radiante y delicada manzanilla. Fusión perfecta entre elegancia (rosas) y felicidad pura (girasol). El ramo que celebra la vida en su máxima expresión. Para cumpleaños donde quieres transmitir que cada año es una nueva oportunidad de brillar. Energía positiva concentrada en un diseño único.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos2.webp
Nube de Celebración,"$255,000",Cumpleaños,Sí,"52 rosas frescas con delicada flor nube y moño decorativo. Sofisticación pura para quien cumple años con estilo. El balance perfecto entre abundancia y refinamiento. Diseñado para transmitir que este cumpleaños merece lo mejor, sin excesos innecesarios. Clase absoluta en cada detalle.",https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos3.webp
Esencia de Felicidad,"$160,000",Cumpleaños,Sí,"20 rosas frescas en arreglo clásico con tarjeta personalizada. El balance ideal entre tradición y efectividad. Para cumpleaños donde buscas transmitir afecto genuino sin complicaciones. Directo al corazón, con el simbolismo exacto que toda celebración necesita. Elegancia eficiente que nunca pasa de moda.",https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos4.webp
Just For You,"$89,000",Detalles Especiales,Sí,"Hermoso detalle compuesto por rosas artificiales de excelente calidad, acompañado de un globo con un mensaje especial. Un detalle destinado a durar meses en excelente estado.",https://florescucuta.dondeseria.com/assets/dia_madres/flores25.webp
Detalle Natural,"$86,000",Detalles Especiales,Sí,"Hermoso detalle de flores naturales acompañado con dos Ferrero Rocher. Frescura, color y dulzura en un mismo regalo para sorprender en una ocasión especial.",https://florescucuta.dondeseria.com/assets/dia_madres/flores27.webp
Eternidad Floral,"$110,000",Detalles Especiales,Sí,Detalle elaborado con diversas flores artificiales de alta calidad. Un regalo elegante y de larga duración para conservar como recuerdo de un día especial.,https://florescucuta.dondeseria.com/assets/dia_madres/flores28.webp
Sol Radiante,"$480,000",Detalles Especiales,Sí,"Imponente arreglo en caja blanca con girasoles, rosas amarillas, crisantemos blancos, claveles y delicados toques de eucalipto. Una declaración de amor en gran formato, ideal para celebrar a alguien muy especial.",https://florescucuta.dondeseria.com/assets/dia_madres/flores29.webp
Elegancia Rosada,"$200,000",Detalles Especiales,Sí,"Sofisticada caja redonda rosa con hortensias, rosas y crisantemos en delicados tonos rosa pastel. Un arreglo de aire romántico y femenino que rinde homenaje a la elegancia.",https://florescucuta.dondeseria.com/assets/dia_madres/flores33.webp
