numero_foto,nombre,precio,seccion,categoria,disponible,descripcion,imagen_url
36,Kit Amor Propio,$91.000,Amor y Amistad,Detalles,Sí,"Set de balaca y muñequeras, parches anti acné, 3 pomos para polvos, mascarilla velo, pañitos para rostro, parche de colágeno con niacinamida para ojeras y colágeno para labios. Un regalo de autocuidado para consentir a quien más quieres.",https://florescucuta.dondeseria.com/assets/flores_cucuta_36.webp
37,Oso de Rosas,$275.000,Amor y Amistad,Con Peluche,Sí,"Oso de 30 cm elaborado en rosas, presentado en caja de acetato con lazo rojo y acompañado de 2 globos de helio. Un detalle que no se marchita y llena de emoción cualquier espacio.",https://florescucuta.dondeseria.com/assets/flores_cucuta_37.webp
38,Abrazo Eterno,$160.000,Amor y Amistad,Flores Eternas,Sí,"21 rosas eternas en tonos rosa y dorado con mariposas decorativas y un tierno peluche en el centro. Dura para siempre, igual que lo que sientes.",https://florescucuta.dondeseria.com/assets/flores_cucuta_38.webp
39,Ternura Eterna,$100.000,Amor y Amistad,Flores Eternas,Sí,11 rosas eternas rosadas y doradas con mariposas y un peluche de oso. El detalle ideal para decir “te quiero” sin gastar de más.,https://florescucuta.dondeseria.com/assets/flores_cucuta_39.webp
40,Dulce Docena,$122.000,Amor y Amistad,Rosas,Sí,"Ramo de 12 rosas rojas con flor nube y 3 Ferrero Rocher, envuelto en papel blanco con lazo rojo. Clásico, dulce y directo al corazón.",https://florescucuta.dondeseria.com/assets/flores_cucuta_40.webp
41,10 Razones para Amarte,$130.000,Amor y Amistad,Rosas,Sí,"Caja corazón negra con 4 rosas rojas, flor nube, 12 Ferrero Rocher y los mensajes de la canción en su interior. Cada razón viene con una flor y un dulce.",https://florescucuta.dondeseria.com/assets/flores_cucuta_41.webp
42,Corazón Feliz Día,$175.000,Amor y Amistad,Rosas,Sí,35 rosas rojas dispuestas en forma de corazón con perlas y topper dorado “Feliz Día”. Para que lo vea y sonría antes de leer la tarjeta.,https://florescucuta.dondeseria.com/assets/flores_cucuta_42.webp
43,Corazón Ferrero Mixto,$145.000,Amor y Amistad,Rosas,Sí,"Caja corazón con rosas rojas y rosadas, flor nube y 11 Ferrero Rocher, con lazo dorado. Flores y chocolate en una sola sorpresa.",https://florescucuta.dondeseria.com/assets/flores_cucuta_43.webp
44,Fresas & Rosas,$66.000,Amor y Amistad,Detalles,Sí,"Caja portable con fresas con crema en vaso de 12 onzas, rosas rojas frescas y eucalipto. Un antojo romántico, perfecto para sorprender en la oficina.",https://florescucuta.dondeseria.com/assets/flores_cucuta_44.webp
45,Desayuno Sorpresa,$110.000,Amor y Amistad,Desayunos,Sí,"Bandeja con 2 sándwiches de jamón y queso con vegetales, ensalada de frutas con yogurt griego, 3 Ferrero Rocher, brownie y jugo de naranja o Chocolisto. La forma más rica de empezar el día juntos.",https://florescucuta.dondeseria.com/assets/flores_cucuta_45.webp
46,Cerezas de Amor,$240.000,Amor y Amistad,Rosas,Sí,"Ramo de 60 rosas rojas decorado con cerezas, perlas y moño rosado, envuelto en papel crema. Abundante, romántico y para dejar sin palabras.",https://florescucuta.dondeseria.com/assets/flores_cucuta_46.webp
